0359,Release of extensive skin contracture and/or excision of scar tissue with major skin graft resurfacing,,
0361,Z-plasty,,
0363,Local flap and skin graft,T,
0365,Cross finger flap (all stages),,
0367,Palmar flap (all stages),,
0369,Distant flap: First stage,,
0371,Distant flap: Subsequent stage (not subject to general modifier 0007),,
0373,Transfer neurovascular island flap,,
0374,"Syndactyly: Separation of, including skin graft for one web (with skin flap and graft)",,
0375,Dupuytren's contracture: Fasciotomy,,
0376,Dupuytren's contracture: Fasciectomy,T,
0377,Standard acupuncture,,
0378,Laser acupuncture using more than 6 points,,
0379,Electro-acupuncture,,
0380,Scalp acupuncture,,
0381,"Micro-acupuncture (ear, hand)",,
0383,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Scapula",M,
0387,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Clavicle",M,
0388,"Reduksie, ORIF, Percutaneous pinning of supracondylar fracture: Elbow - stand alone procedure, Suprakondilere reduksie",M,
0389,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Humerus",M,
0391,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Radius and/or Ulna",M,
0392,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Open reduction of both radius and ulna (modifier 0051 not applicable)",M,
0402,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Carpal bone, Wrist",M,
0403,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Bennett fracture-dislocation",M,
0405,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Open treatment of metacarpal: Simple",M,
0409,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Finger phalanx: Distal: Simple",M,
0411,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Finger phalanx: Distal: Compound",M,
0413,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Proximal or middle: Simple",T,
0415,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Proximal or middle: Compound",M,
0417,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Pelvis fracture: Closed",M,
0419,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Pelvis: Operative reduction and fixation",M,
0421,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Femur: Neck or Shaft",M,
0425,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Patella",M,
0429,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Tibia with or without fibula",M,
0433,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Fibula shaft",,
0435,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Malleolus of ankle",M,
0437,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Fracture-dislocation of ankle",M,
0438,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Open reduction Talus fracture (modifier 0051 not applicable)",,
0439,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Tarsal bones (excluding talus and calcaneus)",M,
0440,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Open reduction Calcaneus fracture (modifier 0051 not applicable)",M,
0441,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Metatarsal (Toe)",M,
0443,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Toe phalanx: Distal Simple",T,
0445,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Toe phalanx: Compound",M,
0447,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Other: Simple",T,
0449,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Other: Compound",,
0451,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Sternum and/or ribs: Closed",T,
0452,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Sternum and/or ribs: Open reduction and fixation of multiple fractured ribs for flail chest",,
0455,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Spine: With or without paralysis: Cervical",,
0456,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Spine: With or without paralysis: Rest",,
0461,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Compression fracture: Cervical",,
0462,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Compression fracture: Rest",,
0463,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Spinous or transverse processes: Cervical",,
0464,"Reduksie, ORIF, Fracture (reduction under general anaesthetic): Spinous or transverse processes: Rest",,
0465,"Fractures involving large joints (includes the item for the relative bone) (this item may not be used as a modifier), ORIF Bekken, Stress views foot, Closed reduction hip, Closed reduction, MVA & Cast, C/R Radius, Left bristow laterjet, Acromioclavicular joint",M,
0473,"Percutaneous insertion plus subsequent removal of Kirschner wires or Steinmann pins (no after-care) (modifier 0005 not applicable), K-Drade, Verwyder K-drade hand, Verwyder Diastase, Removal Screws, Removal bone (R) Foot, Verwyder Diastase, Removal Screws, Removal of hardware - K-wire, Plate",T,
0475,"Bonegrafting or internal fixation for malunion or non-union: Femur, Tibia, Humerus, Radius and Ulna",M,
0479,"Bonegrafting or internal fixation for malunion or non-union: Other bones, Scoliosis - POP Jacket",M,
0497,"Resection of bone or tumour with or without grafting (benign), Repositioning pacemaker leads",M,
0498,Resection of bone or tumour with or without grafting (malignant) - does not include digits,,
0499,Grafts to cysts: Large bones,,
0501,Grafts to cysts: Small bones,,
0503,Grafts to cysts: Cartilage graft,,
0505,Grafts to cysts: Inter-metacarpal bone graft,,
0507,Removal of autogenous bone for grafting (not subject to general modifier 0005),M,
0509,Acute or chronic osteomyelitis: Conservative treatment,,
0511,"Acute or chronic osteomyelitis: Operation: Tariff which would be applicable for compound fracture of the bone involved, including six weeks post-operative care",,
0512,Acute or chronic osteomyelitis: Sternum sequestrectomy and drainage: Including six weeks after-care,,
0514,Osteotomy: Sternum: Repair of pectus excavatum,M,
0515,Osteotomy: Sternum: Repair of pectus carinatum,M,
0516,Osteotomy: Pelvic,M,
0521,"Osteotomy: Femoral: Proximal, Neck of femur",M,
0527,Osteotomy: Knee region,M,
0528,"Osteotomy: Os Calcis (Dwyer operation), Calas",M,
0530,Osteotomy: Metacarpal and phalanx: Corrective for malunion or rotation,,
0531,Rotational osteotomy of tibia and fibula - stand alone procedure,M,
0532,"Osteotomy: Rotation osteotomy of the Radius, Ulna or Humerus",,
0533,Osteotomy: Single metatarsal,M,
